size,stride,cycles
1024,2,24.000
1120,2,24.000
1216,2,25.000
1312,2,13.000
1408,2,13.000
1504,2,13.000
1600,2,13.000
1696,2,13.000
1792,2,13.000
1888,2,13.000
1984,2,24.000
2080,2,25.000
2176,2,24.000
2272,2,13.000
2368,2,13.000
2464,2,13.000
2560,2,13.000
2656,2,13.000
2752,2,13.000
2848,2,13.000
2944,2,25.000
3040,2,24.000
3136,2,13.000
3232,2,13.000
3328,2,13.000
3424,2,13.000
3520,2,13.000
3616,2,24.000
3712,2,26.000
3808,2,25.000
3904,2,25.000
4000,2,13.000
4096,2,13.000
4864,2,13.000
5632,2,13.000
6400,2,26.000
7168,2,30.000
7936,2,28.000
8704,2,13.000
9472,2,13.000
10240,2,13.000
11008,2,32.000
11776,2,33.000
12544,2,14.000
13312,2,15.000
14080,2,36.000
14848,2,16.000
15616,2,17.000
16384,2,28.000
19456,2,19.000
22528,2,35.000
25600,2,21.000
28672,2,22.000
31744,2,23.000
34816,2,23.000
37888,2,24.000
40960,2,24.000
44032,2,24.000
47104,2,25.000
50176,2,25.000
53248,2,25.000
56320,2,25.000
59392,2,33.000
62464,2,25.000
65536,2,26.000
77824,2,53.000
90112,2,29.000
102400,2,30.000
114688,2,32.000
126976,2,40.000
139264,2,33.000
151552,2,33.000
163840,2,34.000
176128,2,35.000
188416,2,34.000
200704,2,35.000
212992,2,35.000
225280,2,35.000
237568,2,36.000
249856,2,36.000
262144,2,41.000
311296,2,40.000
360448,2,58.000
409600,2,85.000
458752,2,84.000
507904,2,97.000
557056,2,106.000
606208,2,112.000
655360,2,121.000
704512,2,109.000
753664,2,128.000
802816,2,135.000
851968,2,141.000
901120,2,140.000
950272,2,145.000
999424,2,132.000
1048576,2,86.000
1245184,2,166.000
1441792,2,114.000
1638400,2,117.000
1835008,2,181.000
2031616,2,192.000
2228224,2,114.000
2424832,2,127.000
2621440,2,130.000
2818048,2,225.000
3014656,2,233.000
3211264,2,245.000
3407872,2,284.000
3604480,2,230.000
3801088,2,172.000
3997696,2,193.000
4194304,2,307.000
4980736,2,221.000
5767168,2,351.000
6553600,2,257.000
7340032,2,379.000
8126464,2,393.000
8912896,2,391.000
9699328,2,420.000
10485760,2,264.000
11272192,2,386.000
12058624,2,428.000
12845056,2,438.000
13631488,2,445.000
14417920,2,329.000
15204352,2,372.000
15990784,2,460.000
16777216,2,465.000
19922944,2,341.000
23068672,2,347.000
26214400,2,400.000
29360128,2,511.000
32505856,2,505.000
35651584,2,498.000
38797312,2,369.000
41943040,2,508.000
45088768,2,435.000
48234496,2,531.000
1024,4,13.000
1120,4,13.000
1216,4,13.000
1312,4,13.000
1408,4,13.000
1504,4,13.000
1600,4,13.000
1696,4,13.000
1792,4,13.000
1888,4,13.000
1984,4,13.000
2080,4,13.000
2176,4,13.000
2272,4,13.000
2368,4,13.000
2464,4,13.000
2560,4,13.000
2656,4,13.000
2752,4,13.000
2848,4,13.000
2944,4,13.000
3040,4,13.000
3136,4,13.000
3232,4,13.000
3328,4,13.000
3424,4,13.000
3520,4,13.000
3616,4,13.000
3712,4,13.000
3808,4,14.000
3904,4,13.000
4000,4,13.000
4096,4,13.000
4864,4,13.000
5632,4,13.000
6400,4,13.000
7168,4,13.000
7936,4,13.000
8704,4,13.000
9472,4,13.000
10240,4,13.000
11008,4,14.000
11776,4,13.000
12544,4,14.000
13312,4,15.000
14080,4,16.000
14848,4,17.000
15616,4,17.000
16384,4,18.000
19456,4,20.000
22528,4,21.000
25600,4,22.000
28672,4,23.000
31744,4,23.000
34816,4,24.000
37888,4,24.000
40960,4,24.000
44032,4,25.000
47104,4,25.000
50176,4,25.000
53248,4,32.000
56320,4,25.000
59392,4,25.000
62464,4,26.000
65536,4,26.000
77824,4,28.000
90112,4,29.000
102400,4,31.000
114688,4,32.000
126976,4,32.000
139264,4,34.000
151552,4,34.000
163840,4,34.000
176128,4,34.000
188416,4,35.000
200704,4,35.000
212992,4,36.000
225280,4,36.000
237568,4,38.000
249856,4,41.000
262144,4,39.000
360448,4,60.000
458752,4,84.000
557056,4,103.000
655360,4,82.000
753664,4,121.000
851968,4,139.000
950272,4,121.000
1048576,4,96.000
1835008,4,184.000
2621440,4,145.000
3407872,4,226.000
4194304,4,217.000
7340032,4,308.000
10485760,4,382.000
13631488,4,297.000
16777216,4,302.000
1024,8,13.000
1120,8,13.000
1216,8,13.000
1312,8,13.000
1408,8,13.000
1504,8,13.000
1600,8,13.000
1696,8,13.000
1792,8,13.000
1888,8,13.000
1984,8,13.000
2080,8,13.000
2176,8,13.000
2272,8,13.000
2368,8,13.000
2464,8,13.000
2560,8,13.000
2656,8,13.000
2752,8,13.000
2848,8,13.000
2944,8,13.000
3040,8,13.000
3136,8,13.000
3232,8,13.000
3328,8,13.000
3424,8,13.000
3520,8,13.000
3616,8,13.000
3712,8,13.000
3808,8,13.000
3904,8,13.000
4000,8,13.000
4096,8,13.000
4864,8,13.000
5632,8,13.000
6400,8,13.000
7168,8,13.000
7936,8,13.000
8704,8,13.000
9472,8,13.000
10240,8,13.000
11008,8,13.000
11776,8,14.000
12544,8,14.000
13312,8,15.000
14080,8,17.000
14848,8,18.000
15616,8,19.000
16384,8,20.000
19456,8,21.000
22528,8,23.000
25600,8,23.000
28672,8,24.000
31744,8,25.000
34816,8,25.000
37888,8,25.000
40960,8,25.000
44032,8,25.000
47104,8,26.000
50176,8,26.000
53248,8,26.000
56320,8,26.000
59392,8,26.000
62464,8,26.000
65536,8,26.000
77824,8,29.000
90112,8,30.000
102400,8,31.000
114688,8,32.000
126976,8,33.000
139264,8,39.000
151552,8,34.000
163840,8,34.000
176128,8,35.000
188416,8,35.000
200704,8,63.000
212992,8,35.000
225280,8,36.000
237568,8,37.000
249856,8,36.000
262144,8,37.000
311296,8,41.000
360448,8,50.000
409600,8,73.000
458752,8,87.000
507904,8,89.000
557056,8,70.000
606208,8,117.000
655360,8,78.000
704512,8,127.000
753664,8,135.000
802816,8,141.000
851968,8,87.000
901120,8,104.000
950272,8,94.000
999424,8,151.000
1048576,8,110.000
1245184,8,167.000
1441792,8,88.000
1638400,8,123.000
1835008,8,94.000
2031616,8,198.000
2228224,8,208.000
2424832,8,209.000
2621440,8,139.000
2818048,8,144.000
3014656,8,146.000
3211264,8,254.000
3407872,8,265.000
3604480,8,279.000
3801088,8,266.000
3997696,8,295.000
4194304,8,285.000
4980736,8,325.000
5767168,8,350.000
6553600,8,237.000
7340032,8,255.000
8126464,8,384.000
8912896,8,380.000
9699328,8,306.000
10485760,8,411.000
11272192,8,436.000
12058624,8,424.000
12845056,8,448.000
13631488,8,390.000
14417920,8,458.000
15204352,8,462.000
15990784,8,329.000
16777216,8,459.000
23068672,8,370.000
29360128,8,330.000
35651584,8,500.000
41943040,8,393.000
48234496,8,572.000
1024,16,13.000
1120,16,13.000
1216,16,13.000
1312,16,13.000
1408,16,13.000
1504,16,13.000
1600,16,13.000
1696,16,16.000
1792,16,13.000
1888,16,13.000
1984,16,13.000
2080,16,13.000
2176,16,13.000
2272,16,13.000
2368,16,13.000
2464,16,13.000
2560,16,14.000
2656,16,13.000
2752,16,13.000
2848,16,13.000
2944,16,13.000
3040,16,13.000
3136,16,13.000
3232,16,14.000
3328,16,13.000
3424,16,13.000
3520,16,13.000
3616,16,13.000
3712,16,13.000
3808,16,13.000
3904,16,13.000
4000,16,13.000
4096,16,14.000
4864,16,13.000
5632,16,13.000
6400,16,13.000
7168,16,13.000
7936,16,13.000
8704,16,13.000
9472,16,13.000
10240,16,14.000
11008,16,13.000
11776,16,14.000
12544,16,17.000
13312,16,25.000
14080,16,26.000
14848,16,40.000
15616,16,27.000
16384,16,27.000
19456,16,27.000
22528,16,27.000
25600,16,27.000
28672,16,27.000
31744,16,27.000
34816,16,27.000
37888,16,27.000
40960,16,28.000
44032,16,28.000
47104,16,28.000
50176,16,27.000
53248,16,28.000
56320,16,28.000
59392,16,28.000
62464,16,28.000
65536,16,28.000
77824,16,30.000
90112,16,31.000
102400,16,32.000
114688,16,33.000
126976,16,33.000
139264,16,34.000
151552,16,34.000
163840,16,35.000
176128,16,35.000
188416,16,35.000
200704,16,35.000
212992,16,36.000
225280,16,37.000
237568,16,37.000
249856,16,38.000
262144,16,42.000
311296,16,46.000
360448,16,61.000
409600,16,80.000
458752,16,73.000
507904,16,69.000
557056,16,69.000
606208,16,122.000
655360,16,88.000
704512,16,120.000
753664,16,90.000
802816,16,97.000
851968,16,147.000
901120,16,96.000
950272,16,86.000
999424,16,113.000
1048576,16,100.000
1245184,16,99.000
1441792,16,183.000
1638400,16,104.000
1835008,16,193.000
2031616,16,114.000
2228224,16,205.000
2424832,16,214.000
2621440,16,222.000
2818048,16,232.000
3014656,16,130.000
3211264,16,131.000
3407872,16,142.000
3604480,16,249.000
3801088,16,182.000
3997696,16,281.000
4194304,16,299.000
4980736,16,300.000
5767168,16,348.000
6553600,16,262.000
7340032,16,349.000
8126464,16,259.000
8912896,16,366.000
9699328,16,265.000
10485760,16,294.000
11272192,16,426.000
12058624,16,376.000
12845056,16,324.000
13631488,16,300.000
14417920,16,346.000
15204352,16,370.000
15990784,16,454.000
16777216,16,465.000
19922944,16,354.000
23068672,16,319.000
26214400,16,340.000
29360128,16,511.000
32505856,16,322.000
35651584,16,346.000
38797312,16,513.000
41943040,16,435.000
45088768,16,383.000
48234496,16,432.000
1024,32,13.000
1120,32,16.000
1216,32,13.000
1312,32,13.000
1408,32,13.000
1504,32,13.000
1600,32,13.000
1696,32,13.000
1792,32,13.000
1888,32,13.000
1984,32,13.000
2080,32,16.000
2176,32,13.000
2272,32,13.000
2368,32,13.000
2464,32,13.000
2560,32,14.000
2656,32,13.000
2752,32,13.000
2848,32,13.000
2944,32,13.000
3040,32,13.000
3136,32,13.000
3232,32,13.000
3328,32,13.000
3424,32,13.000
3520,32,13.000
3616,32,13.000
3712,32,14.000
3808,32,13.000
3904,32,13.000
4000,32,13.000
4096,32,13.000
4864,32,13.000
5632,32,13.000
6400,32,13.000
7168,32,13.000
7936,32,13.000
8704,32,14.000
9472,32,13.000
10240,32,14.000
11008,32,13.000
11776,32,13.000
12544,32,17.000
13312,32,27.000
14080,32,27.000
14848,32,27.000
15616,32,30.000
16384,32,27.000
19456,32,27.000
22528,32,27.000
25600,32,28.000
28672,32,28.000
31744,32,28.000
34816,32,28.000
37888,32,28.000
40960,32,28.000
44032,32,28.000
47104,32,28.000
50176,32,28.000
53248,32,28.000
56320,32,28.000
59392,32,28.000
62464,32,28.000
65536,32,28.000
77824,32,30.000
90112,32,31.000
102400,32,32.000
114688,32,33.000
126976,32,35.000
139264,32,38.000
151552,32,34.000
163840,32,35.000
176128,32,36.000
188416,32,35.000
200704,32,36.000
212992,32,36.000
225280,32,37.000
237568,32,40.000
249856,32,40.000
262144,32,48.000
311296,32,57.000
360448,32,60.000
409600,32,61.000
458752,32,113.000
507904,32,68.000
557056,32,130.000
606208,32,137.000
655360,32,75.000
704512,32,135.000
753664,32,156.000
802816,32,160.000
851968,32,113.000
901120,32,107.000
950272,32,82.000
999424,32,99.000
1048576,32,171.000
1245184,32,176.000
1441792,32,89.000
1638400,32,184.000
1835008,32,191.000
2031616,32,122.000
2228224,32,207.000
2424832,32,206.000
2621440,32,175.000
2818048,32,225.000
3014656,32,221.000
3211264,32,136.000
3407872,32,184.000
3604480,32,179.000
3801088,32,281.000
3997696,32,185.000
4194304,32,308.000
4980736,32,223.000
5767168,32,346.000
6553600,32,363.000
7340032,32,236.000
8126464,32,370.000
8912896,32,304.000
9699328,32,407.000
10485760,32,302.000
11272192,32,420.000
12058624,32,276.000
12845056,32,306.000
13631488,32,458.000
14417920,32,445.000
15204352,32,452.000
15990784,32,460.000
16777216,32,357.000
19922944,32,479.000
23068672,32,335.000
26214400,32,372.000
29360128,32,492.000
32505856,32,386.000
35651584,32,524.000
38797312,32,527.000
41943040,32,483.000
45088768,32,394.000
48234496,32,439.000
